,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
143,174,352,3.1622776601683795,It,Wel,60.4759386567953,61.919885257658,62.580170329092596,60.470957613814704,61.36173796434015,0.8435589686608632,0.9184546633671491,2
144,175,353,3.1622776601683795,Eng,Tat,67.03813337976659,53.213270142179994,69.2071753880472,61.055683465506895,62.628565593875166,38.46103537869995,6.201696169492661,2
145,176,354,3.1622776601683795,Tat,Dut,70.8807416772018,71.5937762825904,69.976205926887,70.5599162742,70.75266004021981,0.340978147090633,0.5839333413075786,2
146,177,355,3.1622776601683795,Prt,Wel,55.838309600367396,59.0127452963787,60.402960526315695,59.7464342313787,58.750112413610125,3.068033925638912,1.7515804079855746,2
147,178,356,3.1622776601683795,Grm,Wel,54.28187403993851,59.8198198198198,55.6436851738865,55.943228858663495,56.42215197307708,4.240078583707712,2.0591451099200637,2
148,179,357,3.1622776601683795,Grm,Fin,75.997641045803,74.56351885791452,69.99217527386539,73.0255402750491,73.39471886315799,4.963723255900641,2.227941483948948,2
149,180,358,3.1622776601683795,Grk,Grg,68.9875439156818,70.34200021577,68.3527744467458,69.43470639789649,69.27925624402351,0.52426352575403,0.7240604434396551,2
150,181,359,3.1622776601683795,Arm,Grm,67.9488580483007,72.192402972749,72.6165027789653,64.8140138408304,69.39294441021136,10.320071844999157,3.2124868630080274,2
151,182,360,3.1622776601683795,Grm,Est,70.185166848202,71.14228456913821,69.9819891935161,70.4211460696321,70.4326466701221,0.19201415875253094,0.43819420209826027,2
152,183,361,3.1622776601683795,Trk,Alb,85.2317254425077,82.92618162506629,82.010582010582,80.7428340734759,82.72783078790798,2.690872315204045,1.6403878551135536,2
153,184,362,3.1622776601683795,Grg,Grk,72.7209944751381,71.91164750085301,73.1232622798887,71.74134997163921,72.37431355687976,0.3239536571052746,0.5691692692910209,2
154,185,363,3.1622776601683795,Dut,Tat,72.2946485550186,69.189919860963,76.73674193269309,64.364937388193,70.64656193421692,20.346773747572108,4.510739822642413,2
155,186,364,3.1622776601683795,Trk,Grm,77.83728115345,77.3045934916815,76.7914217960614,77.907218639484,77.46012877016923,0.20337337788324095,0.4509693757709507,2
157,188,366,3.1622776601683795,Est,Grm,74.194198227236,76.00580671920359,76.32434700514,76.5421910460078,75.76663574939685,0.8605725941953869,0.9276705202793646,2
158,189,367,3.1622776601683795,Alb,Wel,55.5709268915611,58.01510012036321,55.46506643806249,53.748739213269005,55.69995816581395,2.3097402159965323,1.519782950291433,2
159,190,368,3.1622776601683795,Wel,Prt,76.22704908196322,76.18179747123808,75.8002560819462,75.821650195357,76.00768820762613,0.039017864409643076,0.197529401380258,2
160,191,369,3.1622776601683795,Spn,Wel,58.2685018950728,61.407249466950894,61.23203285420941,60.63732928679809,60.3862783757578,1.5764215972374158,1.2555562899517552,2
161,192,370,3.1622776601683795,Eng,Bsq,60.113179992697994,61.94626651091739,62.4942049142327,66.7035908797193,62.81431057439184,5.819643960642239,2.412393823703385,2
162,193,371,3.1622776601683795,Wel,Grm,76.4420029579547,76.19047619047599,75.9883478984602,77.90963980845301,76.63261671383597,0.5694230342447922,0.7546012418786443,2
163,194,372,3.1622776601683795,Wel,Alb,83.1475762051832,82.61622485680029,82.1917808219178,82.82963359186941,82.69630386894268,0.12059492240916571,0.34726779638942296,2
164,195,373,3.1622776601683795,Wel,Spn,74.7560555619331,74.6453089244851,76.75397567820391,75.8025543665861,75.48947363280205,0.7368752725343117,0.8584143944123442,2
165,196,374,3.1622776601683795,Fr,Grg,67.5622610313113,66.8713540067546,67.8553338060986,67.40871736190569,67.42441655151755,0.12770385596985387,0.3573567628712991,2
166,197,375,3.1622776601683795,Grm,Trk,71.4148424986652,70.36644778648589,70.88820988304701,68.3420296028111,70.25288244275231,1.3545119477843057,1.1638350174248522,2
168,199,377,3.1622776601683795,Wel,It,81.52825342465749,82.24630131277301,82.1654006633144,82.1204516938519,82.0151017736492,0.08104072593208092,0.28467652859356163,2
169,200,378,3.1622776601683795,Bsq,Eng,65.89664442895501,65.3291022622581,66.2116040955631,65.09827278141749,65.63390589204843,0.19564370876435655,0.4423162994558945,2
170,201,379,3.3166247903554,Trk,Fr,78.76482434549108,76.5638389031705,78.21533762408629,74.489123269611,77.00828103558972,2.7715286665881074,1.6647908777345302,1
171,202,380,3.3166247903554,Fr,Trk,73.88312621957479,77.07287075945469,73.98808300801309,76.1143559790962,75.26460899153469,1.8824734500047027,1.3720325980109593,1
172,203,381,3.3166247903554,Wel,Grk,75.12206463613109,75.9272383652256,75.20311248426592,75.5749051127483,75.45683014959272,0.10291654724030558,0.32080608978058006,1
173,204,382,3.3166247903554,Grm,Tat,65.2120358965335,76.6285516285516,67.27867660425369,72.28895836761559,70.35205562423859,19.752863932784884,4.444419414590041,1
174,205,383,3.3166247903554,Fr,Arm,48.835359618225,51.2260967379077,52.987137877148605,51.1325357184341,51.04528248792885,2.1737170904777323,1.4743531091559214,1
175,206,384,3.3166247903554,Fr,Wel,57.476635514018604,60.196097850846705,57.00029937132021,57.19264278799611,57.966418881045406,1.685868101059146,1.2984098355523752,1
176,207,385,3.3166247903554,Est,Fr,75.40983606557371,71.9132488726648,73.67733507511399,74.04647084612009,73.76172271486814,1.555333983519676,1.2471302993351079,1
177,208,386,3.3166247903554,Arm,Fr,60.85326865836179,57.653807220785005,62.2413208187266,56.92458801701999,59.41824617872335,4.840153950954365,2.2000349885750374,1
178,209,387,3.3166247903554,Wel,Fr,75.58255107675309,75.4232718645529,76.398332967756,75.0773993808049,75.62038882246674,0.23508035426099305,0.4848508577500849,1
179,210,388,3.3166247903554,Fr,Est,78.9662877683862,79.1316252689223,77.65347372379429,77.34827986084258,78.27491665548635,0.6141976826563569,0.7837076512682244,1
